Name,M1,M2,M3,Support,Temperature,Ar_flow,CH4_flow,O2_flow,C2y
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,14,4,2,13.84477962
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,10.5,3,1.5,13.09528135
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,8,8,4,12.32989994
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,10.5,3,1.5,12.23726544
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,14,4,2,11.89981891
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,10.5,3.6,0.9,11.88201803
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,14,4.8,1.2,11.80648058
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,7,2,1,11.5821934
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,3,13.6,3.4,11.37497763
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,8,9.6,2.4,11.35245193
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,8,9.6,2.4,11.22903624
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,6,7.2,1.8,10.90011429
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,10.5,3.6,0.9,10.75791621
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,6,6,3,10.7362964
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,2.25,10.2,2.55,10.62828328
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,14,5.142857143,0.857142857,10.49573198
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,8,10.28571429,1.714285714,10.33475544
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,3,14.57142857,2.428571429,10.31056518
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,750,8,8,4,10.24934577
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,7,2.4,0.6,10.14727884
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,4,4.8,1.2,10.1110539
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,14,5.142857143,0.857142857,10.09640056
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,800,4,4,2,10.05887004
Ba-Ba-Ba-BaO,Ba,Ba,Ba,BaO,850,8,10.28571429,1.714285714,9.988162592
