support,promoters,formula,predicted_max_yield,ensemble_std,nn_distance,min_element_support,tier
Ba,Mo+Zn+Fe,Ba(90.0) Mo(3.33) Zn(3.33) Fe(3.33),18.79,0.087,2.435,96,IN_SUPPORT
Ba,Mo+Zn+Eu,Ba(90.0) Mo(3.33) Zn(3.33) Eu(3.33),18.572,0.149,2.548,74,IN_SUPPORT
Ba,Mo+Eu,Ba(93.3) Mo(3.33) Eu(3.33),18.557,0.159,0.141,74,IN_SUPPORT
Ba,Mo+La+Eu,Ba(90.0) Mo(3.33) La(3.33) Eu(3.33),18.53,0.174,0.157,74,IN_SUPPORT
Ba,Mo+Y+La,Ba(90.0) Mo(3.33) Y(3.33) La(3.33),18.456,0.172,2.44,84,IN_SUPPORT
Ba,Mo+Eu+Sr,Ba(90.0) Mo(3.33) Eu(3.33) Sr(3.33),18.384,0.193,3.058,67,IN_SUPPORT
Ba,Mo+Na+Eu,Ba(90.0) Mo(3.33) Na(3.33) Eu(3.33),18.376,0.21,2.913,74,IN_SUPPORT
Ba,Mo+Fe+Y,Ba(90.0) Mo(3.33) Fe(3.33) Y(3.33),18.363,0.142,3.338,84,IN_SUPPORT
Ba,Mo+Li+Eu,Ba(90.0) Mo(3.33) Li(3.33) Eu(3.33),18.35,0.155,2.493,74,IN_SUPPORT
Ba,W+Fe+Ti,Ba(90.0) W(3.33) Fe(3.33) Ti(3.33),18.337,0.21,2.292,96,IN_SUPPORT
Ba,Mo+Zn+La,Ba(90.0) Mo(3.33) Zn(3.33) La(3.33),18.336,0.164,0.153,111,IN_SUPPORT
Ba,Mo+La+Sr,Ba(90.0) Mo(3.33) La(3.33) Sr(3.33),18.332,0.159,0.138,67,IN_SUPPORT
Ba,Mo+Fe,Ba(93.3) Mo(3.33) Fe(3.33),18.324,0.118,0.138,96,IN_SUPPORT
Ba,Zn+Fe+Eu,Ba(90.0) Zn(3.33) Fe(3.33) Eu(3.33),18.272,0.19,3.059,74,IN_SUPPORT
Ba,Mo+La+Zr,Ba(90.0) Mo(3.33) La(3.33) Zr(3.33),18.262,0.139,0.285,121,IN_SUPPORT
Ba,Mo+Y+Eu,Ba(90.0) Mo(3.33) Y(3.33) Eu(3.33),18.258,0.172,3.338,74,IN_SUPPORT
Ba,Mo+Fe+Sr,Ba(90.0) Mo(3.33) Fe(3.33) Sr(3.33),18.236,0.17,3.033,67,IN_SUPPORT
Ba,Cs+Mo+Eu,Ba(90.0) Cs(3.33) Mo(3.33) Eu(3.33),18.218,0.143,2.09,74,IN_SUPPORT
Ba,W+Mo+Ti,Ba(90.0) W(3.33) Mo(3.33) Ti(3.33),18.174,0.112,2.09,121,IN_SUPPORT
Ba,Mo+Nd+La,Ba(90.0) Mo(3.33) Nd(3.33) La(3.33),18.147,0.168,2.438,83,IN_SUPPORT
Ba,W+Mo+Fe,Ba(90.0) W(3.33) Mo(3.33) Fe(3.33),18.124,0.171,2.288,96,IN_SUPPORT
Ba,Mo+Tb+Eu,Ba(90.0) Mo(3.33) Tb(3.33) Eu(3.33),18.111,0.144,3.059,74,IN_SUPPORT
Ba,W+Eu+Ti,Ba(90.0) W(3.33) Eu(3.33) Ti(3.33),18.108,0.119,0.187,74,IN_SUPPORT
Ba,Mo+Nd+Eu,Ba(90.0) Mo(3.33) Nd(3.33) Eu(3.33),18.087,0.131,3.114,74,IN_SUPPORT
Ba,Mo+K+Eu,Ba(90.0) Mo(3.33) K(3.33) Eu(3.33),18.083,0.137,2.969,74,IN_SUPPORT
Ba,W+Zn+Ti,Ba(90.0) W(3.33) Zn(3.33) Ti(3.33),18.081,0.112,2.553,111,IN_SUPPORT
Ba,Mo+Fe+Nd,Ba(90.0) Mo(3.33) Fe(3.33) Nd(3.33),18.073,0.184,2.435,83,IN_SUPPORT
Ba,Mo+Zn,Ba(93.3) Mo(3.33) Zn(3.33),18.053,0.148,0.122,111,IN_SUPPORT
Ba,Mo+Fe+Tb,Ba(90.0) Mo(3.33) Fe(3.33) Tb(3.33),18.043,0.159,3.033,75,IN_SUPPORT
Ba,Mo+Zn+Y,Ba(90.0) Mo(3.33) Zn(3.33) Y(3.33),18.042,0.14,3.338,84,IN_SUPPORT
Ba,W+Fe+Eu,Ba(90.0) W(3.33) Fe(3.33) Eu(3.33),18.04,0.269,3.035,74,IN_SUPPORT
Ba,Mo+Mg+Eu,Ba(90.0) Mo(3.33) Mg(3.33) Eu(3.33),18.04,0.17,0.18,74,IN_SUPPORT
Ba,W+Mo+Eu,Ba(90.0) W(3.33) Mo(3.33) Eu(3.33),18.005,0.141,2.288,74,IN_SUPPORT
Ba,Mo+La+Tb,Ba(90.0) Mo(3.33) La(3.33) Tb(3.33),17.988,0.17,0.153,75,IN_SUPPORT
Ba,W+La+Ti,Ba(90.0) W(3.33) La(3.33) Ti(3.33),17.985,0.189,0.223,135,IN_SUPPORT
Ba,Mo+Fe+Na,Ba(90.0) Mo(3.33) Fe(3.33) Na(3.33),17.982,0.125,2.438,80,IN_SUPPORT
Ba,W+Zn+Fe,Ba(90.0) W(3.33) Zn(3.33) Fe(3.33),17.954,0.174,2.289,96,IN_SUPPORT
